"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Gene"
"12209",66,155,67,126,69,60,70,98,40,49,"Tubb2a"
"12210",28,26,22,25,16,13,10,3,19,33,"Tubb2a-ps2"
"12211",65,31,52,73,83,33,51,39,27,100,"Tubb2b"
"12212",10,17,11,10,5,16,26,5,5,22,"Tubb2c"
"12213",16,13,21,15,31,16,22,11,3,41,"Tubb3"
"12214",88,88,73,58,81,44,20,78,47,53,"Tubb4"
"12215",60,35,46,55,35,67,62,56,21,58,"Tubb5"
"12216",7,4,1,2,2,13,1,2,3,2,"Tubb6"
"12217",0,0,0,0,1,1,0,0,1,0,"Tubd1"
"12218",0,0,0,0,0,0,0,0,0,0,"Tube1"
"12219",3,1,1,6,2,1,6,1,0,2,"Tubg1"
"12220",0,0,5,0,2,0,0,0,0,1,"Tubg2"
"12221",4,2,2,0,7,1,1,1,0,2,"Tubgcp2"
"12222",1,1,2,3,2,2,6,2,0,1,"Tubgcp3"
"12223",0,1,2,1,1,2,3,2,0,2,"Tubgcp4"
"12224",0,0,0,0,3,0,0,2,1,0,"Tubgcp5"
"12225",0,3,2,2,3,1,2,0,0,2,"Tubgcp6"
"12226",0,0,0,0,1,0,0,0,0,0,"Tuft1"
"12227",4,6,5,3,3,7,4,6,3,1,"Tug1"
"12228",0,3,4,0,2,2,2,0,3,2,"Tulp3"
"12229",2,1,1,3,2,0,2,2,1,2,"Tulp4"
"12230",0,0,0,1,0,2,0,0,0,0,"Tusc1"
"12231",2,2,2,1,3,3,7,0,3,1,"Tusc2"
"12232",11,9,8,11,13,11,8,9,10,14,"Tusc3"
"12233",0,0,0,0,0,0,2,0,0,0,"Tut1"
"12234",3,8,8,8,1,5,8,0,2,4,"Twf1"
"12235",2,7,0,2,1,0,1,9,4,2,"Twf2"
"12236",0,1,1,2,0,0,0,0,1,0,"Twistnb"
"12237",1,5,3,5,2,0,1,2,3,4,"Twsg1"
"12238",1,0,1,5,2,5,7,3,2,1,"Txlna"
"12239",0,0,0,0,0,0,1,0,0,0,"Txlng"
"12240",3,7,4,12,11,9,10,3,3,8,"Txn1"
"12241",12,4,14,12,4,7,8,10,10,6,"Txn2"
